"('Date', '')","('Open', '^VIX')",Date,Open,Timestamp_NY,VIX_Latest
,,2021-01-04,23.04,,
,,2021-01-05,26.94,,
,,2021-01-06,25.48,,
,,2021-01-07,23.67,,
,,2021-01-08,22.43,,
,,2021-01-11,23.31,,
,,2021-01-12,23.49,,
,,2021-02-01,31.45,,
,,2021-02-02,28.01,,
,,2021-02-03,24.59,,
,,2021-02-04,23.44,,
,,2021-02-05,21.99,,
,,2021-02-08,21.89,,
,,2021-02-09,21.57,,
,,2021-02-10,21.64,,
,,2021-02-11,22.09,,
,,2021-02-12,21.6,,
,,2021-03-01,25.2,,
,,2021-03-02,23.58,,
,,2021-03-03,22.8,,
,,2021-03-04,26.52,,
,,2021-03-05,29.48,,
,,2021-03-08,27.61,,
,,2021-03-09,25.11,,
,,2021-03-10,23.76,,
,,2021-03-11,22.5,,
,,2021-03-12,22.57,,
,,2021-04-01,18.6,,
,,2021-04-05,18.16,,
,,2021-04-06,18.07,,
,,2021-04-07,17.99,,
,,2021-04-08,16.92,,
,,2021-04-09,17.05,,
,,2021-04-12,17.43,,
,,2021-05-03,18.65,,
,,2021-05-04,18.16,,
,,2021-05-05,18.84,,
,,2021-05-06,18.41,,
,,2021-05-07,18.45,,
,,2021-05-10,17.34,,
,,2021-05-11,21.17,,
,,2021-05-12,22.42,,
,,2021-06-01,17.24,,
,,2021-06-02,17.86,,
,,2021-06-03,17.73,,
,,2021-06-04,18.09,,
,,2021-06-07,17.34,,
,,2021-06-08,16.58,,
,,2021-06-09,17.18,,
,,2021-06-10,18.18,,
,,2021-06-11,16.18,,
,,2021-07-01,15.62,,
,,2021-07-02,15.53,,
,,2021-07-06,15.77,,
,,2021-07-07,16.43,,
,,2021-07-08,17.74,,
,,2021-07-09,17.88,,
,,2021-07-12,16.85,,
,,2021-08-02,18.16,,
,,2021-08-03,19.17,,
,,2021-08-04,18.23,,
,,2021-08-05,17.73,,
,,2021-08-06,17.46,,
,,2021-08-09,17.12,,
,,2021-08-10,16.82,,
,,2021-08-11,16.81,,
,,2021-08-12,16.33,,
,,2021-09-01,16.06,,
,,2021-09-02,16.27,,
,,2021-09-03,16.27,,
,,2021-09-07,16.94,,
,,2021-09-08,18.97,,
,,2021-09-09,19.44,,
,,2021-09-10,17.94,,
,,2021-10-01,24.78,,
,,2021-10-04,22.9,,
,,2021-10-05,22.92,,
,,2021-10-06,22.95,,
,,2021-10-07,20.54,,
,,2021-10-08,19.46,,
,,2021-10-11,19.93,,
,,2021-10-12,20.62,,
,,2021-11-01,16.85,,
,,2021-11-02,16.54,,
,,2021-11-03,16.11,,
,,2021-11-04,15.06,,
,,2021-11-05,15.59,,
,,2021-11-08,17.23,,
,,2021-11-09,17.43,,
,,2021-11-10,17.74,,
,,2021-11-11,18.34,,
,,2021-11-12,17.49,,
,,2021-12-01,24.92,,
,,2021-12-02,29.44,,
,,2021-12-03,26.95,,
,,2021-12-06,28.99,,
,,2021-12-07,24.58,,
,,2021-12-08,21.74,,
,,2021-12-09,20.31,,
,,2021-12-10,21.27,,
,,2022-01-03,17.6,,
,,2022-01-04,16.57,,
,,2022-01-05,17.07,,
,,2022-01-06,20.29,,
,,2022-01-07,19.85,,
,,2022-01-10,19.58,,
,,2022-01-11,19.62,,
,,2022-01-12,18.17,,
,,2022-02-01,24.57,,
,,2022-02-02,21.56,,
,,2022-02-03,22.63,,
,,2022-02-04,23.77,,
,,2022-02-07,24.09,,
,,2022-02-08,23.09,,
,,2022-02-09,21.27,,
,,2022-02-10,20.37,,
,,2022-02-11,24.39,,
,,2022-03-01,29.45,,
,,2022-03-02,34.2,,
,,2022-03-03,30.52,,
,,2022-03-04,31.9,,
,,2022-03-07,35.88,,
,,2022-03-08,36.19,,
,,2022-03-09,33.74,,
,,2022-03-10,33.03,,
,,2022-03-11,30.43,,
,,2022-04-01,20.62,,
,,2022-04-04,20.75,,
,,2022-04-05,18.79,,
,,2022-04-06,21.27,,
,,2022-04-07,21.97,,
,,2022-04-08,21.25,,
,,2022-04-11,23.09,,
,,2022-04-12,24.94,,
,,2022-05-02,33.35,,
,,2022-05-03,31.76,,
,,2022-05-04,29.12,,
,,2022-05-05,25.97,,
,,2022-05-06,32.23,,
,,2022-05-09,31.9,,
,,2022-05-10,33.66,,
,,2022-05-11,32.87,,
,,2022-05-12,33.74,,
,,2022-06-01,26.05,,
,,2022-06-02,25.73,,
,,2022-06-03,24.91,,
,,2022-06-06,25.37,,
,,2022-06-07,25.54,,
,,2022-06-08,24.37,,
,,2022-06-09,24.29,,
,,2022-06-10,26.26,,
,,2022-07-01,29.53,,
,,2022-07-05,27.37,,
,,2022-07-06,27.84,,
,,2022-07-07,26.73,,
,,2022-07-08,26.41,,
,,2022-07-11,26.42,,
,,2022-07-12,27.14,,
,,2022-08-01,22.41,,
,,2022-08-02,24.08,,
,,2022-08-03,23.86,,
,,2022-08-04,22.06,,
,,2022-08-05,21.5,,
,,2022-08-08,21.74,,
,,2022-08-09,21.41,,
,,2022-08-10,22.28,,
,,2022-08-11,19.84,,
,,2022-08-12,20.34,,
,,2022-09-01,26.88,,
,,2022-09-02,25.51,,
,,2022-09-06,25.46,,
,,2022-09-07,26.93,,
,,2022-09-08,24.7,,
,,2022-09-09,23.49,,
,,2022-09-12,23.58,,
,,2022-10-03,33.0,,
,,2022-10-04,29.52,,
,,2022-10-05,29.36,,
,,2022-10-06,28.6,,
,,2022-10-07,30.37,,
,,2022-10-10,32.93,,
,,2022-10-11,33.56,,
,,2022-10-12,33.54,,
,,2022-11-01,25.96,,
,,2022-11-02,26.04,,
,,2022-11-03,25.98,,
,,2022-11-04,25.63,,
,,2022-11-07,25.67,,
,,2022-11-08,24.71,,
,,2022-11-09,25.34,,
,,2022-11-10,26.51,,
,,2022-11-11,23.89,,
,,2022-12-01,20.83,,
,,2022-12-02,20.42,,
,,2022-12-05,20.3,,
,,2022-12-06,20.69,,
,,2022-12-07,22.32,,
,,2022-12-08,22.81,,
,,2022-12-09,22.55,,
,,2022-12-12,24.4,,
,,2023-01-03,23.09,,
,,2023-01-04,22.93,,
,,2023-01-05,22.2,,
,,2023-01-06,22.69,,
,,2023-01-09,21.75,,
,,2023-01-10,22.22,,
,,2023-01-11,20.8,,
,,2023-01-12,21.56,,
,,2023-02-01,19.62,,
,,2023-02-02,17.74,,
,,2023-02-03,18.57,,
,,2023-02-06,19.23,,
,,2023-02-07,19.54,,
,,2023-02-08,18.88,,
,,2023-02-09,19.24,,
,,2023-02-10,20.74,,
,,2023-03-01,20.39,,
,,2023-03-02,21.41,,
,,2023-03-03,19.76,,
,,2023-03-06,19.05,,
,,2023-03-07,18.64,,
,,2023-03-08,19.71,,
,,2023-03-09,19.33,,
,,2023-03-10,23.34,,
,,2023-04-03,19.79,,
,,2023-04-04,18.79,,
,,2023-04-05,19.42,,
,,2023-04-06,19.3,,
,,2023-04-10,19.39,,
,,2023-04-11,19.08,,
,,2023-04-12,19.38,,
,,2023-05-01,16.41,,
,,2023-05-02,16.27,,
,,2023-05-03,17.82,,
,,2023-05-04,19.17,,
,,2023-05-05,19.5,,
,,2023-05-08,17.73,,
,,2023-05-09,17.29,,
,,2023-05-10,17.58,,
,,2023-05-11,16.8,,
,,2023-05-12,16.83,,
,,2023-06-01,17.24,,
,,2023-06-02,15.65,,
,,2023-06-05,15.28,,
,,2023-06-06,14.91,,
,,2023-06-07,14.14,,
,,2023-06-08,14.14,,
,,2023-06-09,13.78,,
,,2023-06-12,14.44,,
,,2023-07-03,13.85,,
,,2023-07-05,14.19,,
,,2023-07-06,14.85,,
,,2023-07-07,15.97,,
,,2023-07-10,16.08,,
,,2023-07-11,15.02,,
,,2023-07-12,14.82,,
,,2023-08-01,13.75,,
,,2023-08-02,15.7,,
,,2023-08-03,16.77,,
,,2023-08-04,16.01,,
,,2023-08-07,16.9,,
,,2023-08-08,16.28,,
,,2023-08-09,15.81,,
,,2023-08-10,15.58,,
,,2023-08-11,15.53,,
,,2023-09-01,13.56,,
,,2023-09-05,14.15,,
,,2023-09-06,14.27,,
,,2023-09-07,14.81,,
,,2023-09-08,14.22,,
,,2023-09-11,14.17,,
,,2023-09-12,14.02,,
,,2023-10-02,17.31,,
,,2023-10-03,17.81,,
,,2023-10-04,20.72,,
,,2023-10-05,18.67,,
,,2023-10-06,18.73,,
,,2023-10-09,19.54,,
,,2023-10-10,17.7,,
,,2023-10-11,16.95,,
,,2023-10-12,16.08,,
,,2023-11-01,18.02,,
,,2023-11-02,16.59,,
,,2023-11-03,15.7,,
,,2023-11-06,15.39,,
,,2023-11-07,15.1,,
,,2023-11-08,14.91,,
,,2023-11-09,14.61,,
,,2023-11-10,15.09,,
,,2023-12-01,12.94,,
,,2023-12-04,13.28,,
,,2023-12-05,13.26,,
,,2023-12-06,12.78,,
,,2023-12-07,13.17,,
,,2023-12-08,13.14,,
,,2023-12-11,13.05,,
,,2023-12-12,12.69,,
,,2024-01-02,13.22,,
,,2024-01-03,13.35,,
,,2024-01-04,13.93,,
,,2024-01-05,14.24,,
,,2024-01-08,14.0,,
,,2024-01-09,13.2,,
,,2024-01-10,12.86,,
,,2024-01-11,12.64,,
,,2024-01-12,12.66,,
,,2024-02-01,14.21,,
,,2024-02-02,13.95,,
,,2024-02-05,14.37,,
,,2024-02-06,13.57,,
,,2024-02-07,13.06,,
,,2024-02-08,12.95,,
,,2024-02-09,12.79,,
,,2024-02-12,13.48,,
,,2024-03-01,13.34,,
,,2024-03-04,13.49,,
,,2024-03-05,13.75,,
,,2024-03-06,14.27,,
,,2024-03-07,14.98,,
,,2024-03-08,14.22,,
,,2024-03-11,15.51,,
,,2024-03-12,14.97,,
,,2024-04-01,13.61,,
,,2024-04-02,13.74,,
,,2024-04-03,15.0,,
,,2024-04-04,14.29,,
,,2024-04-05,16.45,,
,,2024-04-08,16.24,,
,,2024-04-09,15.34,,
,,2024-04-10,15.24,,
,,2024-04-11,16.02,,
,,2024-04-12,14.91,,
,,2024-05-01,15.75,,
,,2024-05-02,15.14,,
,,2024-05-03,14.51,,
,,2024-05-06,13.98,,
,,2024-05-07,13.52,,
,,2024-05-08,13.24,,
,,2024-05-09,13.08,,
,,2024-05-10,12.77,,
,,2024-06-03,13.08,,
,,2024-06-04,13.51,,
,,2024-06-05,13.14,,
,,2024-06-06,12.75,,
,,2024-06-07,12.69,,
,,2024-06-10,13.09,,
,,2024-06-11,12.85,,
,,2024-06-12,13.1,,
,,2024-07-01,12.98,,
,,2024-07-02,12.67,,
,,2024-07-03,12.13,,
,,2024-07-05,12.37,,
,,2024-07-08,12.91,,
,,2024-07-09,12.48,,
,,2024-07-10,12.51,,
,,2024-07-11,12.88,,
,,2024-07-12,12.87,,
,,2024-08-01,16.2,,
,,2024-08-02,20.52,,
,,2024-08-05,23.39,,
,,2024-08-06,33.71,,
,,2024-08-07,24.77,,
,,2024-08-08,28.34,,
,,2024-08-09,23.78,,
,,2024-08-12,20.79,,
,,2024-09-03,15.76,,
,,2024-09-04,23.2,,
,,2024-09-05,20.75,,
,,2024-09-06,21.98,,
,,2024-09-09,21.32,,
,,2024-09-10,19.86,,
,,2024-09-11,19.41,,
,,2024-09-12,17.62,,
,,2024-10-01,16.96,,
,,2024-10-02,19.65,,
,,2024-10-03,19.63,,
,,2024-10-04,20.48,,
,,2024-10-07,20.76,,
,,2024-10-08,22.92,,
,,2024-10-09,21.98,,
,,2024-10-10,20.91,,
,,2024-10-11,20.87,,
,,2024-11-01,22.96,,
,,2024-11-04,22.5,,
,,2024-11-05,21.98,,
,,2024-11-06,16.06,,
,,2024-11-07,15.86,,
,,2024-11-08,15.13,,
,,2024-11-11,15.33,,
,,2024-11-12,15.09,,
,,2024-12-02,14.08,,
,,2024-12-03,13.38,,
,,2024-12-04,13.16,,
,,2024-12-05,13.46,,
,,2024-12-06,13.62,,
,,2024-12-09,13.36,,
,,2024-12-10,14.3,,
,,2024-12-11,14.42,,
,,2024-12-12,13.73,,
,,2025-01-02,17.21,,
,,2025-01-03,17.66,,
,,2025-01-06,16.77,,
,,2025-01-07,16.48,,
,,2025-01-08,17.91,,
,,2025-02-03,20.36,,
,,2025-02-04,18.78,,
,,2025-02-05,17.54,,
,,2025-02-06,15.88,,
,,2025-02-07,15.38,,
,,2025-03-03,19.83,,
,,2025-03-04,22.96,,
,,2025-03-05,23.03,,
,,2025-03-06,22.6,,
,,2025-03-07,24.85,,
,,2025-04-01,22.06,,
,,2025-04-02,22.3,,
,,2025-04-03,26.38,,
,,2025-04-04,30.12,,
,,2025-04-07,60.13,,
,,2025-04-08,44.04,,
,,2025-05-01,23.94,,
,,2025-05-02,23.63,,
,,2025-05-05,24.25,,
,,2025-05-06,23.97,,
,,2025-05-07,24.56,,
,,2025-05-08,22.84,,
,,2025-06-02,19.81,,
,,2025-06-03,18.83,,
,,2025-06-04,17.68,,
,,2025-06-05,17.68,,
,,2025-06-06,18.16,,
,,2025-07-01,16.98,,
,,2025-07-02,16.75,,
,,2025-07-03,16.65,,
,,2025-07-07,17.83,,
,,2025-07-08,17.41,,
,,2025-08-01,17.4,,
,,2025-08-04,19.56,,
,,,,,
